# Source: World Bank Open Data (https://data.worldbank.org/)
# License: CC BY 4.0
# Year: 2022
# Columns: country_name, country_code, region, income_group, population, gdp_usd, gdp_per_capita_usd, life_expectancy, land_area_sqkm, surface_area_sqkm, population_density, gni_per_capita_usd, unemployment_pct, internet_users_pct
country_name,country_code,region,income_group,population,gdp_usd,gdp_per_capita_usd,life_expectancy,land_area_sqkm,surface_area_sqkm,population_density,gni_per_capita_usd,unemployment_pct,internet_users_pct
Aruba,ABW,Latin America & Caribbean ,High income,107310,3326671314.7742,31000.5713798732,76.226,180,180,596.166666666667,30160,,
Africa Eastern and Southern,AFE,Aggregates,Aggregates,731821393,1226461319482.05,1675.90252377611,64.4871517904367,14856891.3,15173743.5,49.2580431681559,1565.19408203048,7.86947018999245,26.8
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",Low income,40578842,14497243872.1337,357.261152798144,65.617,652230,652860,62.2155405301811,370,14.1,15.86629963
Africa,AFR,Aggregates,Aggregates,,,,,,,,,,
Africa Western and Central,AFW,Aggregates,Aggregates,496366058,1063748247138.21,2143.07209365676,57.9789954665232,9045773,9166243,54.8727077276867,2156.91443987969,3.59653801462938,37.5
Angola,AGO,Sub-Saharan Africa ,Lower middle income,35635029,128233959333.275,3598.53669077341,64.246,1246700,1246700,28.5834835966953,2290,14.124,35.83800125
Albania,ALB,Europe & Central Asia,Upper middle income,2451636,19017247013.8821,7756.96188744253,78.769,27400,28750,89.4757664233577,7720,10.785,82.61367544
Andorra,AND,Europe & Central Asia,High income,79705,3380612573.4825,42414.0590111349,84.016,470,470,169.585106382979,47600,,94.05169678
Arab World,ARB,Aggregates,Aggregates,471352066,3752344988903,7960.81158770821,71.8760955992222,13100560,13166241.9,35.9795356839708,7290.50418722345,9.74413095599936,
United Arab Emirates,ARE,"Middle East, North Africa, Afghanistan & Pakistan",High income,10074977,511403404642.173,50759.7590190204,80.487,71020,98647.9,141.861123627147,46990,2.872,100
Argentina,ARG,Latin America & Caribbean ,Upper middle income,45407904,633993756301.08,13962.1894087223,75.806,2736690,2780400,16.5922716858687,11890,6.805,88.37535691
Armenia,ARM,Europe & Central Asia,Upper middle income,2969200,19513506553.1251,6571.97445545099,74.7658536585366,28198.32,29740,105.297053157777,5690,13.451,77.02767465
American Samoa,ASM,East Asia & Pacific,High income,48342,871000000,18017.4589383973,72.752,200,200,241.71,,,
Antigua and Barbuda,ATG,Latin America & Caribbean ,High income,92840,1857114814.81481,20003.3909394099,77.483,440,440,211,18730,,71.9233017
Australia,AUS,East Asia & Pacific,High income,26018721,1695627535475.8,65169.5191118657,83.2,7692020,7741220,3.38256023775289,60790,3.728,96.11940002
Austria,AUT,Europe & Central Asia,High income,9041851,473221298968.216,52336.7725223758,81.2951219512195,82520,83879,109.571631119729,56310,4.992,93.61409139
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,10141756,78807470588.2353,7770.594223351,74.125,82650,86600,122.707271627344,5670,5.65,88
Burundi,BDI,Sub-Saharan Africa ,Low income,13321097,4020736756.64256,301.832255755105,62.882,25680,27830,518.734306853583,280,0.909,7.144800186
East Asia & Pacific (IBRD-only countries),BEA,Aggregates,Aggregates,,,,,,,,,,
Europe & Central Asia (IBRD-only countries),BEC,Aggregates,Aggregates,,,,,,,,,,
Belgium,BEL,Europe & Central Asia,High income,11680210,591474463578.602,50639.0264882739,81.7487804878049,30494,30689,383.033055683085,54330,5.57,94.00783071
Benin,BEN,Sub-Saharan Africa ,Lower middle income,13759501,17425405090.862,1266.42711031904,60.475,112760,114760,122.024663001064,1360,1.685,30.53730011
Burkina Faso,BFA,Sub-Saharan Africa ,Low income,22509038,18622421394.6133,827.330843486661,60.7,273600,274200,82.2698757309942,840,3.828,25.3987999
Bangladesh,BGD,South Asia,Lower middle income,169384897,460131689083.083,2716.48592780431,74.265,130260,147570,1300.36002610164,2850,4.593,41.61650085
Bulgaria,BGR,Europe & Central Asia,High income,6465097,90510784777.6397,13999.9113358453,74.1609756097561,108560,111000,59.5532148120855,13100,4.148,79.12686326
IBRD countries classified as high income,BHI,Aggregates,Aggregates,,,,,,,,,,
Bahrain,BHR,"Middle East, North Africa, Afghanistan & Pakistan",High income,1524693,46458191489.3617,30470.5219276023,80.992,790,790,1929.99113924051,28300,1.265,100
"Bahamas, The",BHS,Latin America & Caribbean ,High income,397538,13896800000,34957.1613279737,74.491,10010,13880,39.7140859140859,33790,9.25,92.2559967
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,3204802,24534663636.1778,7655.59421024383,76.777,51200,51210,62.5937890625,7710,12.657,78.8455371
Latin America & the Caribbean (IBRD-only countries),BLA,Aggregates,Aggregates,,,,,,,,,,
Belarus,BLR,Europe & Central Asia,Upper middle income,9228071,73775179924.603,7994.64806074889,74.1033658536585,202990,207630,45.4607172767131,7210,3.574,89.50733148
Belize,BLZ,Latin America & Caribbean ,Upper middle income,402733,2846604350,7068.21728043145,72.19,22810,22970,17.6559842174485,6710,8.682,69.98329926
"Middle East, North Africa, Afghanistan & Pakistan (IBRD only)",BMN,Aggregates,Aggregates,,,,,,,,,,
Bermuda,BMU,North America,High income,64749,7767884000,119969.173269085,82.062,54,4290,1199.05555555556,131560,,
Bolivia,BOL,Latin America & Caribbean ,Lower middle income,12077154,50959081953.6903,4219.46113742445,67.434,1083300,1098580,11.1484851841595,4190,3.552,72.62270355
Brazil,BRA,Latin America & Caribbean ,Upper middle income,210306415,1951923942083.32,9281.33334441234,74.872,8358140,8510420,25.161867951482,8440,9.231,80.52775094
Barbados,BRB,Latin America & Caribbean ,High income,282318,6886644900,24393.2193483944,75.676,430,430,656.553488372093,24760,7.261,69.06359863
Brunei Darussalam,BRN,East Asia & Pacific,High income,455370,16681536466.7183,36632.9280952155,72.917,5270,5770,86.4079696394687,30970,5.191,98.97042579
Sub-Saharan Africa (IBRD-only countries),BSS,Aggregates,Aggregates,,,,,,,,,,
Bhutan,BTN,South Asia,Lower middle income,780914,2898227743.75576,3711.32767981591,72.754,38140,38390,20.4749344520189,3600,5.947,88.35620117
Botswana,BWA,Sub-Saharan Africa ,Upper middle income,2439892,20321150599.1523,8328.7090572666,68.749,566730,581730,4.30521059411007,7690,23.615,57.9
Sub-Saharan Africa (IFC classification),CAA,Aggregates,Aggregates,,,,,,,,,,
Central African Republic,CAF,Sub-Saharan Africa ,Low income,5098039,2382618615.01694,467.359825026238,18.818,622980,622980,8.18331086070179,520,6.287,13.75360012
Canada,CAN,North America,High income,38950132,2200562785046.32,56496.9275340663,81.0948780487805,8788700,15634410,4.43184225198266,54070,5.279,94
East Asia and the Pacific (IFC classification),CEA,Aggregates,Aggregates,,,,,,,,,,
Central Europe and the Baltics,CEB,Aggregates,Aggregates,100071871,1954028005289.23,19526.2463443821,76.6522987292583,1104902.13,1166817.47,90.5708010536644,19544.2908215034,3.96540582731722,
Europe and Central Asia (IFC classification),CEU,Aggregates,Aggregates,,,,,,,,,,
Switzerland,CHE,Europe & Central Asia,High income,8777088,858479038993.75,97809.095567203,83.6048780487805,39509.63,41290.7,222.150599739861,97920,4.122,96.45279694
Channel Islands,CHI,Europe & Central Asia,High income,167215,11308272505.183,67627.1417347907,81,,,,,5.923,
Chile,CHL,Latin America & Caribbean ,High income,19553036,301099244104.003,15399.1044717559,79.176,742831.64,757244.88,26.3222982801325,15430,8.249,92.31819916
China,CHN,East Asia & Pacific,Upper middle income,1412175000,18316765021690.2,12970.6056414327,78.202,9388210,9562910,150.42004812419,13170,4.98,75.61131603
Cote d'Ivoire,CIV,Sub-Saharan Africa ,Lower middle income,30395002,70922824813.9102,2333.37128301259,61.562,318000,322460,95.5817672955975,2440,2.31,38.41328122
